category,metric,stat_name,stat_value,p_value,a_value,b_value,effect_size,notes,p_adjusted,significant
Changepoint,Changepoint frame,Mann-Whitney U,49542.0,2.7842103412861986e-09,15.0,11.0,0.4636609130793986,,,True
Changepoint,slope_before,Mann-Whitney U,42556.0,0.025807438435045356,15.274999999999984,12.908028408077861,0.11178834336947298,,,True
Changepoint,slope_after,Mann-Whitney U,38242.0,0.9562919394543697,29.318681318681357,29.470238095238102,0.05168642509314186,,,False
Changepoint,slope_ratio,Mann-Whitney U,36809.0,0.4158525414871356,1.8192574992575032,2.469313064617787,0.14837672372115826,,,False
Fate prediction,accuracy,Descriptive,,,0.772093023255814,0.9156626506024096,,"Single-value comparison, no test",,False
Fate prediction,Feature: area,Mann-Whitney U,26106.0,0.6462822522085733,927.0,927.0,-0.04563294545867906,,,False
Fate prediction,Feature: cv,Mann-Whitney U,3250.0,6.262104483329472e-60,0.4734796357344153,0.7633062501121706,-2.262784774593937,,,True
Fate prediction,Feature: nnrm,Mann-Whitney U,2504.0,1.1277575351727936e-63,0.0925946171462968,0.1742555027385177,-2.5247789433536627,,,True
Fate prediction,Feature: disappeared,Mann-Whitney U,23422.5,0.00012397661413026453,1.0,1.0,-0.3628090948252612,,,True
Fate prediction,Feature: predicted_class,Mann-Whitney U,26269.5,0.030991883536243547,1.0,1.0,-0.20183223333579417,,,False
Fluorescence,Initial mean_intensity,Mann-Whitney U,32676.0,0.002680139157810235,2648.26517571885,2905.5976305350628,-0.2951281063412151,,,True
Fluorescence,Initial total_intensity,Mann-Whitney U,33918.0,0.019050728283853575,2412672.0,2523092.0,-0.24851324577691147,,,True
Fluorescence,Initial min_intensity,Mann-Whitney U,46645.0,1.1107874712510762e-05,558.0,429.5,0.3291096294702054,,,True
Fluorescence,Initial max_intensity,Mann-Whitney U,15783.0,6.671332924030823e-33,5666.0,7992.0,-1.1197275650030636,,,True
Fluorescence,Initial std_intensity,Mann-Whitney U,12310.0,3.059104737769461e-43,1305.1070709624305,2059.0129990507235,-1.3705357680491776,,,True
Fluorescence,Initial cv,Mann-Whitney U,8944.0,1.1776117403800241e-54,0.4802270469569562,0.7420760328953804,-1.64554488777005,,,True
Fluorescence,Initial skewness,Mann-Whitney U,8668.0,1.1860533716288846e-55,0.2731449548188365,0.9007300616446667,-1.7699265543705487,,,True
Fluorescence,Initial kurtosis,Mann-Whitney U,14571.0,2.410721870200554e-36,-1.0536528138523644,-0.4738714229694301,-0.8370016614840449,,,True
Fluorescence,Initial nnrm,Mann-Whitney U,7374.0,1.8924154210766418e-60,0.094679191994877,0.16954921556144098,-1.903361228162118,,,True
Fluorescence,Initial fluor_concentration,Mann-Whitney U,33620.0,0.01233754959034868,121.9301908739779,125.37142583249457,-0.2513413402831411,,,True
Fluorescence,mean_fluor_intensity,Mann-Whitney U,30343.0,2.258804393916529e-05,2034.5733708057196,2252.421542302425,-0.3945936966571629,,,True
Fluorescence,mean_fluor_total,Mann-Whitney U,35528.0,0.1357049153486849,2184024.0625,2246150.709090909,-0.16481828669399917,,,False
Fluorescence,mean_cv,Mann-Whitney U,10269.0,5.348080958337042e-50,0.4569530799018844,0.6388496107977476,-1.4853357380877663,,,True
Fluorescence,mean_nnrm,Mann-Whitney U,7489.0,5.147149949757976e-60,0.0978751592483349,0.14503532688556603,-1.8031196937146232,,,True
Fluorescence,Fluor disappearance frame,Mann-Whitney U,3586.0,0.03433553021364655,14.0,12.0,0.5379951158915628,,,False
Fluorescence,Max fluor drop,Mann-Whitney U,48063.0,2.6713332540719455e-07,-0.203179414344706,-0.26374076811810254,0.3971875360523386,,,True
Fluorescence,Relative F(t)/F(0) survived,Mann-Whitney U,564312.5,6.072393900097131e-20,0.7673371097260543,0.669895673613805,0.5831305125313173,,,True
Kinetics,mean_speed,Mann-Whitney U,34493.0,0.04134519282520498,0.7676346163124604,0.8393449152779757,-0.1816069948663757,,,False
Kinetics,max_speed,Mann-Whitney U,38104.0,0.8982409095422793,1.9709492865530955,2.1974015432004403,-0.10110080246011258,,,False
Kinetics,speed_std,Mann-Whitney U,36998.0,0.47550258312993443,0.512685255845359,0.5360720851239364,-0.16183842029606896,,,False
Kinetics,total_displacement,Mann-Whitney U,45344.0,0.0002110126193703009,14.730453884096812,11.66778366566263,0.29828129908330625,,,True
Kinetics,net_displacement,Mann-Whitney U,30649.0,4.589546124210066e-05,2.4823057180330683,3.4335521803768945,-0.1424713064844451,,,True
Morphology,Initial area,Mann-Whitney U,36493.0,0.3266037372409085,894.0,913.5,-0.08244453419040375,,,False
Morphology,Initial volume,Mann-Whitney U,36493.0,0.3266037372409085,20108.05564846201,20769.53036921333,-0.07071286745778313,,,False
Morphology,Initial surface_area,Mann-Whitney U,36493.0,0.3266037372409085,3575.999999999999,3654.0,-0.08244453419040373,,,False
Morphology,Initial sav_ratio,Mann-Whitney U,40199.0,0.3266037372409085,0.177839173638527,0.17593083502911222,0.11827852082549878,,,False
Morphology,Initial radius,Mann-Whitney U,36493.0,0.3266037372409085,16.869174201729876,17.052157026332786,-0.09461156244599135,,,False
Morphology,mean_area,Mann-Whitney U,43765.0,0.004113675615009241,1115.9,1035.05,0.22528825278425635,,,True
Morphology,mean_volume,Mann-Whitney U,43977.0,0.0028677161929975175,28496.931697744487,25116.366331836063,0.2617049060908793,,,True
Morphology,mean_surface_area,Mann-Whitney U,43765.0,0.004113675615009241,4463.599999999999,4140.2,0.22528825278425635,,,True
Morphology,Growth rate,Mann-Whitney U,48784.0,3.256227026658689e-08,20.00357142857143,15.5073185816383,0.4085054600501007,,,True
Nucleus,Phase cell count,Mann-Whitney U,383.0,0.58530435768075,159.0,166.59259259259258,-0.08444068632072381,,,False
Nucleus,Fluor nucleus count,Mann-Whitney U,363.0,0.39108413519934804,193.58064516129033,215.25925925925927,-0.21629295018821013,,,False
Nucleus,Count difference,Mann-Whitney U,271.0,0.02182892577886114,34.58064516129032,48.666666666666664,-0.8304504421014028,,,True
Population,Disappearance rate,Chi-squared,11.352475506115685,0.000753474699598645,0.8112449799196787,0.9123376623376623,,"A: 202/249, B: 281/308",,True
Population,Detections per track,Mann-Whitney U,54245.5,3.426026020241331e-17,20.0,14.0,0.8040375500040082,,,True
Population,Track lifetime,Mann-Whitney U,53410.0,1.34560842094536e-15,20.0,15.0,0.7198004347839135,,,True
Pre-burst,preburst_slope,Mann-Whitney U,30560.0,0.011135313679402223,-60.10565413108247,-78.67454770725783,0.2135715409217677,,,True
Pre-burst,preburst_spike,Mann-Whitney U,29377.5,0.09218380645859472,0.0,0.0,0.15571612066017898,,,False
Spatial,mean_nn_distance_deaths,Descriptive,,,44.37667383885277,40.60817915779179,,Single-value comparison,,False
Spatial,mean_nn_distance_random,Descriptive,,,45.1058486798792,41.190997196505776,,Single-value comparison,,False
Spatial,clustering_ratio,Descriptive,,,0.9838341398650656,0.9858508393003064,,Single-value comparison,,False
Spatial,p_value,Descriptive,,,0.193,0.07,,Single-value comparison,,False
Swelling,area_initial,Mann-Whitney U,36493.0,0.3266037372409085,894.0,913.5,-0.08244453419040375,,,False
Swelling,area_max,Mann-Whitney U,46893.0,6.0190036198823856e-06,1410.0,1234.0,0.41481845051673205,,,True
Swelling,area_rel_max,Mann-Whitney U,51606.0,2.1960631827026425e-12,1.5048192771084337,1.3250316169828364,0.6087254668876326,,,True
Swelling,frame_of_max_area,Mann-Whitney U,51709.5,1.3729242059691901e-12,19.0,13.0,0.6195833150452412,,,True
Swelling,area_rel_max (survived),Mann-Whitney U,607.0,0.7617567351091615,1.6765327695560253,1.7531645569620251,-0.025520819407801314,,,False
Swelling,growth_rate_px_per_frame (survived),Mann-Whitney U,631.0,0.9731274817422687,23.6810483870968,24.54887734840382,0.029419656610012654,,,False
Swelling,area_rel_max (disappeared),Mann-Whitney U,37966.0,2.381963105029286e-10,1.4493235527752955,1.314207650273224,0.6545275618512966,,,True
Swelling,growth_rate_px_per_frame (disappeared),Mann-Whitney U,36142.0,2.913565787167885e-07,19.22850527636473,15.093542680230009,0.41202965054261775,,,True
