frame,cell_count,mean_area,iqr_area,z_count,z_area,z_iqr,flagged,reasons
0,254,946.0826771653543,274.25,0.5601779661016949,-0.9483503127767823,-0.5159376130198915,False,
1,263,983.1558935361217,312.0,0.6116228813559321,0.7307861911045113,0.6745,False,
2,277,985.1588447653429,230.0,0.6916483050847457,0.0,-1.3965608974358974,False,
3,263,1013.1368821292775,257.5,0.6116228813559321,0.5412629241149199,0.4972275641025641,False,
4,279,999.5232974910394,241.5,0.7030805084745763,-0.3254138147734709,-0.255099358974359,False,
5,290,1000.7896551724137,240.25,0.765957627118644,-0.015348968450926889,0.0,False,
6,289,1046.1557093425606,273.0,0.7602415254237288,0.9035904548988201,0.588025641025641,False,
7,294,1031.904761904762,263.5,0.7888220338983051,-0.33869503551026026,-0.1426826923076923,False,
8,289,1066.2768166089966,292.0,0.7602415254237288,0.6745,0.514522435897436,False,
9,287,1043.8188153310105,258.5,0.7488093220338983,-0.5097117527165167,-0.5577596153846154,False,
10,268,1045.3544776119404,232.25,0.6402033898305084,-0.009737260590667318,-0.4323717948717949,False,
11,226,1011.4601769911504,223.5,0.40012711864406775,-0.7480187516321861,-0.12971153846153846,False,
12,213,1103.3192488262912,418.0,0.3258177966101695,1.8724013593851208,3.385471153846154,False,
13,193,1176.5492227979275,354.0,0.2114957627118644,1.4842124644213401,-1.0852532051282051,False,
14,173,1168.8092485549132,300.0,0.09717372881355932,-0.20302086018834917,-0.9123044871794872,False,
15,139,1188.6906474820144,290.0,-0.09717372881355932,0.37254701791566996,-0.1513301282051282,False,
16,114,1169.701754385965,297.0,-0.24007627118644068,-0.4374232671697193,0.1426826923076923,False,
17,109,1290.3853211009175,507.0,-0.2686567796610169,2.473039613436271,3.6535416666666665,True,iqr(z=3.7)
18,94,1284.776595744681,370.75,-0.3543983050847458,-0.1586103816824729,-2.3348076923076926,False,
19,75,1331.7333333333333,369.5,-0.46300423728813556,0.9367367533933161,0.0,False,
20,55,1369.0727272727272,625.5,-0.5773262711864406,0.7363327386070448,4.449105769230769,True,iqr(z=4.4)
21,38,1377.578947368421,342.25,-0.6745,0.13551363428467467,-4.877153846153846,False,
22,38,1431.0,576.75,-0.6745,1.0714386767820707,4.077266025641025,True,iqr(z=4.1)
23,30,1390.6,386.0,-0.720228813559322,-0.8835830323872745,-3.277378205128205,False,
24,29,1390.1724137931035,494.0,-0.7259449152542373,-0.05064698507720079,1.8894647435897436,False,
25,27,1390.0,460.0,-0.7373771186440677,-0.045329760482574824,-0.5664070512820513,False,
26,13,1172.7692307692307,343.0,-0.8174025423728813,-4.568342294818607,-2.00188141025641,False,
27,28,1541.6785714285713,457.25,-0.7316610169491525,7.645511710315082,1.997557692307692,False,
28,25,1410.36,461.0,-0.7488093220338983,-2.7781234998398103,0.08647435897435897,False,
29,28,1569.1785714285713,503.25,-0.7316610169491525,3.267688149167003,0.7523269230769231,False,
